# Version 2.1 - nm, norm@500 to 1, cut digits, C.dat
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 0.2966391
300.10 0.2973755
300.20 0.2981119
300.30 0.2988483
300.40 0.2995848
300.50 0.3003214
300.60 0.301058
300.70 0.3017947
300.80 0.3025315
300.90 0.3032683
301.00 0.3040051
301.10 0.304742
301.20 0.305479
301.30 0.306216
301.40 0.3069973
301.50 0.3083661
301.60 0.309735
301.70 0.311104
301.80 0.3124731
301.90 0.3138423
302.00 0.3152116
302.10 0.316581
302.20 0.3179505
302.30 0.3193201
302.40 0.3206899
302.50 0.3220597
302.60 0.3234296
302.70 0.3247997
302.80 0.3261698
302.90 0.32754
303.00 0.3285544
303.10 0.3295541
303.20 0.3305538
303.30 0.3315536
303.40 0.3325534
303.50 0.3335534
303.60 0.3345534
303.70 0.3355535
303.80 0.3365536
303.90 0.3375539
304.00 0.3385542
304.10 0.3395546
304.20 0.340555
304.30 0.3415556
304.40 0.3425562
304.50 0.3429623
304.60 0.3431909
304.70 0.3434195
304.80 0.3436481
304.90 0.3438767
305.00 0.3441053
305.10 0.344334
305.20 0.3445627
305.30 0.3447914
305.40 0.3450201
305.50 0.3452488
305.60 0.3454775
305.70 0.3457063
305.80 0.345935
305.90 0.3461638
306.00 0.346538
306.10 0.3470577
306.20 0.3475774
306.30 0.3480972
306.40 0.348617
306.50 0.3491368
306.60 0.3496567
306.70 0.3501766
306.80 0.3506966
306.90 0.3512166
307.00 0.3517366
307.10 0.3522567
307.20 0.3527768
307.30 0.3532969
307.40 0.3538171
307.50 0.3541565
307.60 0.3535463
307.70 0.3529361
307.80 0.3523258
307.90 0.3517155
308.00 0.3511051
308.10 0.3504947
308.20 0.3498842
308.30 0.3492737
308.40 0.3486632
308.50 0.3480526
308.60 0.3474419
308.70 0.3468312
308.80 0.3462205
308.90 0.3456097
309.00 0.3449988
309.10 0.3456558
309.20 0.3467584
309.30 0.347861
309.40 0.3489637
309.50 0.3500665
309.60 0.3511694
309.70 0.3522724
309.80 0.3533754
309.90 0.3544785
310.00 0.3555818
310.10 0.3566851
310.20 0.3577884
310.30 0.3588919
310.40 0.3599955
310.50 0.3610991
310.60 0.3622309
310.70 0.3634469
310.80 0.364663
310.90 0.3658792
311.00 0.3670955
311.10 0.3683119
311.20 0.3695284
311.30 0.370745
311.40 0.3719617
311.50 0.3731784
311.60 0.3743953
311.70 0.3756122
311.80 0.3768293
311.90 0.3780464
312.00 0.3792636
312.10 0.3804809
312.20 0.380446
312.30 0.3797943
312.40 0.3791425
312.50 0.3784907
312.60 0.3778388
312.70 0.3771868
312.80 0.3765349
312.90 0.3758828
313.00 0.3752307
313.10 0.3745786
313.20 0.3739264
313.30 0.3732741
313.40 0.3726218
313.50 0.3719695
313.60 0.3713171
313.70 0.3706625
313.80 0.3699043
313.90 0.369146
314.00 0.3683876
314.10 0.3676292
314.20 0.3668707
314.30 0.3661122
314.40 0.3653536
314.50 0.3645949
314.60 0.3638362
314.70 0.3630774
314.80 0.3623186
314.90 0.3615597
315.00 0.3608007
315.10 0.3600417
315.20 0.3592826
315.30 0.3588276
315.40 0.3591171
315.50 0.3594066
315.60 0.3596961
315.70 0.3599857
315.80 0.3602752
315.90 0.3605648
316.00 0.3608544
316.10 0.3611441
316.20 0.3614337
316.30 0.3617234
316.40 0.3620131
316.50 0.3623028
316.60 0.3625926
316.70 0.3628823
316.80 0.3631721
316.90 0.3635531
317.00 0.3640329
317.10 0.3645128
317.20 0.3649927
317.30 0.3654726
317.40 0.3659525
317.50 0.3664325
317.60 0.3669126
317.70 0.3673926
317.80 0.3678727
317.90 0.3683529
318.00 0.368833
318.10 0.3693133
318.20 0.3697935
318.30 0.3702738
318.40 0.3707541
318.50 0.3710669
318.60 0.3712633
318.70 0.3714597
318.80 0.3716561
318.90 0.3718525
319.00 0.3720489
319.10 0.3722454
319.20 0.3724418
319.30 0.3726383
319.40 0.3728348
319.50 0.3730313
319.60 0.3732278
319.70 0.3734243
319.80 0.3736209
319.90 0.3738174
320.00 0.374014
320.10 0.3735449
320.20 0.3726677
320.30 0.3717905
320.40 0.3709133
320.50 0.3700359
320.60 0.3691585
320.70 0.368281
320.80 0.3674035
320.90 0.3665258
321.00 0.3656481
321.10 0.3647704
321.20 0.3638926
321.30 0.3630147
321.40 0.3621367
321.50 0.3612587
321.60 0.3603806
321.70 0.3600292
321.80 0.3600593
321.90 0.3600895
322.00 0.3601196
322.10 0.3601497
322.20 0.3601798
322.30 0.3602099
322.40 0.36024
322.50 0.3602701
322.60 0.3603002
322.70 0.3603304
322.80 0.3603605
322.90 0.3603906
323.00 0.3604207
323.10 0.3604509
323.20 0.360481
323.30 0.3622845
323.40 0.3662558
323.50 0.3702273
323.60 0.3741992
323.70 0.3781713
323.80 0.3821438
323.90 0.3861165
324.00 0.3900896
324.10 0.3940629
324.20 0.3980366
324.30 0.4020105
324.40 0.4059848
324.50 0.4099593
324.60 0.4139342
324.70 0.4179094
324.80 0.4218848
324.90 0.4258266
325.00 0.4296611
325.10 0.4334959
325.20 0.4373309
325.30 0.4411663
325.40 0.4450019
325.50 0.4488379
325.60 0.4526741
325.70 0.4565106
325.80 0.4603474
325.90 0.4641845
326.00 0.4680219
326.10 0.4718596
326.20 0.4756976
326.30 0.4795358
326.40 0.4833744
326.50 0.4872132
326.60 0.4880231
326.70 0.4886735
326.80 0.489324
326.90 0.4899746
327.00 0.4906252
327.10 0.4912758
327.20 0.4919265
327.30 0.4925773
327.40 0.4932281
327.50 0.4938789
327.60 0.4945298
327.70 0.4951808
327.80 0.4958318
327.90 0.4964828
328.00 0.4971339
328.10 0.497785
328.20 0.4979377
328.30 0.4977145
328.40 0.4974911
328.50 0.4972678
328.60 0.4970445
328.70 0.4968211
328.80 0.4965977
328.90 0.4963743
329.00 0.4961509
329.10 0.4959275
329.20 0.495704
329.30 0.4954805
329.40 0.495257
329.50 0.4950335
329.60 0.49481
329.70 0.4945864
329.80 0.4943177
329.90 0.4937179
330.00 0.493118
330.10 0.4925181
330.20 0.4919181
330.30 0.4913181
330.40 0.490718
330.50 0.4901179
330.60 0.4895177
330.70 0.4889175
330.80 0.4883173
330.90 0.487717
331.00 0.4871166
331.10 0.4865162
331.20 0.4859158
331.30 0.4853153
331.40 0.4847148
331.50 0.4842273
331.60 0.4838216
331.70 0.4834159
331.80 0.4830102
331.90 0.4826045
332.00 0.4821987
332.10 0.4817929
332.20 0.481387
332.30 0.4809811
332.40 0.4805752
332.50 0.4801693
332.60 0.4797633
332.70 0.4793573
332.80 0.4789513
332.90 0.4785452
333.00 0.4781391
333.10 0.477733
333.20 0.4759139
333.30 0.4740359
333.40 0.4721577
333.50 0.4702794
333.60 0.468401
333.70 0.4665223
333.80 0.4646436
333.90 0.4627647
334.00 0.4608857
334.10 0.4590065
334.20 0.4571272
334.30 0.4552477
334.40 0.4533681
334.50 0.4514883
334.60 0.4496084
334.70 0.4477284
334.80 0.4456427
334.90 0.4429717
335.00 0.4403005
335.10 0.4376292
335.20 0.4349576
335.30 0.4322858
335.40 0.4296138
335.50 0.4269417
335.60 0.4242693
335.70 0.4215967
335.80 0.4189239
335.90 0.4162509
336.00 0.4135777
336.10 0.4109043
336.20 0.4082307
336.30 0.4055569
336.40 0.4028829
336.50 0.4015729
336.60 0.4018013
336.70 0.4020297
336.80 0.4022581
336.90 0.4024865
337.00 0.4027149
337.10 0.4029434
337.20 0.4031719
337.30 0.4034003
337.40 0.4036288
337.50 0.4038574
337.60 0.4040859
337.70 0.4043144
337.80 0.404543
337.90 0.4047716
338.00 0.4050002
338.10 0.4052288
338.20 0.4060556
338.30 0.4072813
338.40 0.408507
338.50 0.4097329
338.60 0.4109588
338.70 0.4121848
338.80 0.413411
338.90 0.4146372
339.00 0.4158635
339.10 0.4170899
339.20 0.4183164
339.30 0.4195429
339.40 0.4207696
339.50 0.4219964
339.60 0.4232232
339.70 0.4244502
339.80 0.4256772
339.90 0.4261192
340.00 0.4261197
340.10 0.4261201
340.20 0.4261205
340.30 0.4261209
340.40 0.4261214
340.50 0.4261218
340.60 0.4261222
340.70 0.4261226
340.80 0.426123
340.90 0.4261235
341.00 0.4261239
341.10 0.4261243
341.20 0.4261247
341.30 0.4261251
341.40 0.4261255
341.50 0.4261259
341.60 0.4264772
341.70 0.4270624
341.80 0.4276476
341.90 0.4282329
342.00 0.4288182
342.10 0.4294035
342.20 0.4299889
342.30 0.4305744
342.40 0.4311598
342.50 0.4317454
342.60 0.4323309
342.70 0.4329165
342.80 0.4335022
342.90 0.4340879
343.00 0.4346736
343.10 0.4352594
343.20 0.4358452
343.30 0.4372485
343.40 0.4395373
343.50 0.4418263
343.60 0.4441155
343.70 0.4464049
343.80 0.4486944
343.90 0.4509841
344.00 0.453274
344.10 0.4555641
344.20 0.4578543
344.30 0.4601447
344.40 0.4624352
344.50 0.464726
344.60 0.4670169
344.70 0.4693079
344.80 0.4715992
344.90 0.4738906
345.00 0.4761534
345.10 0.4783342
345.20 0.4805152
345.30 0.4826963
345.40 0.4848776
345.50 0.4870591
345.60 0.4892408
345.70 0.4914226
345.80 0.4936045
345.90 0.4957866
346.00 0.4979689
346.10 0.5001514
346.20 0.502334
346.30 0.5045168
346.40 0.5066997
346.50 0.5088828
346.60 0.5110661
346.70 0.5132495
346.80 0.5144338
346.90 0.5155766
347.00 0.5167194
347.10 0.5178623
347.20 0.5190052
347.30 0.5201483
347.40 0.5212915
347.50 0.5224347
347.60 0.523578
347.70 0.5247214
347.80 0.5258649
347.90 0.5270085
348.00 0.5281521
348.10 0.5292959
348.20 0.5304397
348.30 0.5315836
348.40 0.5327276
348.50 0.5335174
348.60 0.5340507
348.70 0.534584
348.80 0.5351173
348.90 0.5356507
349.00 0.5361841
349.10 0.5367175
349.20 0.537251
349.30 0.5377846
349.40 0.5383181
349.50 0.5388517
349.60 0.5393854
349.70 0.5399191
349.80 0.5404528
349.90 0.5409865
350.00 0.5415203
350.10 0.5420542
350.20 0.5425257
350.30 0.5424927
350.40 0.5424597
350.50 0.5424268
350.60 0.5423938
350.70 0.5423608
350.80 0.5423278
350.90 0.5422948
351.00 0.5422618
351.10 0.5422288
351.20 0.5421957
351.30 0.5421627
351.40 0.5421297
351.50 0.5420967
351.60 0.5420636
351.70 0.5420306
351.80 0.5419976
351.90 0.5419645
352.00 0.5423366
352.10 0.5430402
352.20 0.5437439
352.30 0.5444476
352.40 0.5451513
352.50 0.5458551
352.60 0.546559
352.70 0.5472629
352.80 0.5479669
352.90 0.5486709
353.00 0.5493749
353.10 0.5500791
353.20 0.5507832
353.30 0.5514874
353.40 0.5521917
353.50 0.552896
353.60 0.5536004
353.70 0.5543048
353.80 0.5530676
353.90 0.5516146
354.00 0.5501614
354.10 0.5487082
354.20 0.5472548
354.30 0.5458013
354.40 0.5443477
354.50 0.542894
354.60 0.5414402
354.70 0.5399863
354.80 0.5385322
354.90 0.5370781
355.00 0.5356238
355.10 0.5341695
355.20 0.532715
355.30 0.5312604
355.40 0.5298057
355.50 0.5279476
355.60 0.5239718
355.70 0.5199957
355.80 0.5160194
355.90 0.5120427
356.00 0.5080657
356.10 0.5040885
356.20 0.5001109
356.30 0.496133
356.40 0.4921549
356.50 0.4881764
356.60 0.4841976
356.70 0.4802186
356.80 0.4762392
356.90 0.4722595
357.00 0.4682796
357.10 0.4642993
357.20 0.4603188
357.30 0.4577587
357.40 0.4580832
357.50 0.4584077
357.60 0.4587323
357.70 0.4590568
357.80 0.4593814
357.90 0.4597061
358.00 0.4600307
358.10 0.4603554
358.20 0.4606801
358.30 0.4610048
358.40 0.4613295
358.50 0.4616543
358.60 0.461979
358.70 0.4623038
358.80 0.4626287
358.90 0.4629535
359.00 0.4632784
359.10 0.4644954
359.20 0.4669446
359.30 0.469394
359.40 0.4718436
359.50 0.4742933
359.60 0.4767433
359.70 0.4791934
359.80 0.4816437
359.90 0.4840941
360.00 0.4865448
360.10 0.4889956
360.20 0.4914466
360.30 0.4938978
360.40 0.4963492
360.50 0.4988008
360.60 0.5012526
360.70 0.5037045
360.80 0.5061566
360.90 0.5080439
361.00 0.5091182
361.10 0.5101925
361.20 0.511267
361.30 0.5123415
361.40 0.5134162
361.50 0.5144908
361.60 0.5155656
361.70 0.5166405
361.80 0.5177154
361.90 0.5187904
362.00 0.5198655
362.10 0.5209407
362.20 0.5220159
362.30 0.5230912
362.40 0.5241667
362.50 0.5252421
362.60 0.5263177
362.70 0.527692
362.80 0.5297012
362.90 0.5317105
